study,design_group,scenario_id,outcome_name,n,mean,stddev,mcse,min,p05,median,p95,max
controlled-harness,challenge,pi-cli-copilot-route,accepted_task_fraction,1600,0.11234375,0.23055214327276877,0.005763803581819219,0.0,0.0,0.0,0.75,1.0
controlled-harness,challenge,pi-cli-copilot-route,allocated_cash_cost_usd_per_task,1600,13.33483106081764,8.78141040451475,0.21953526011286875,0.14650000000000002,0.21611836522324887,13.334114350200112,26.206458346677202,28.533672156008357
controlled-harness,challenge,pi-cli-copilot-route,budget_exhausted_fraction,1600,0.9159375,0.22324794707324916,0.005581198676831229,0.0,0.25,1.0,1.0,1.0
controlled-harness,challenge,pi-cli-copilot-route,cache_hit_fraction,1600,0.03611825047847175,0.033688802728444545,0.0008422200682111136,0.0,0.0008198226214706631,0.021326136274753535,0.11187477415212156,0.14089717011640926
controlled-harness,challenge,pi-cli-copilot-route,cache_read_tokens_per_task,1600,99420.7875,78486.5666690017,1962.1641667250424,0.0,4635.0,67612.5,215740.0,267330.0
controlled-harness,challenge,pi-cli-copilot-route,cache_write_tokens_per_task,1600,116525.0609375,94174.62664979398,2354.3656662448493,992.5,4480.0,105367.5,314464.49999999977,422100.0
controlled-harness,challenge,pi-cli-copilot-route,compactions_per_task,1600,1.36578125,1.3657310873760355,0.03414327718440089,0.0,0.0,1.0,4.0,4.0
controlled-harness,challenge,pi-cli-copilot-route,economic_loss_usd_per_task,1600,168.98207061365673,81.70724598488675,2.042681149622169,0.27436113416550617,22.39741009023202,185.64431938266767,259.62795905084647,282.1243592158115
controlled-harness,challenge,pi-cli-copilot-route,external_quality_score,1600,0.26291393560948245,0.22709279567566715,0.005677319891891679,0.0,0.0024119204634072784,0.15931678965136287,0.6698297478033935,0.7518473120949918
controlled-harness,challenge,pi-cli-copilot-route,human_minutes_per_task,1600,22.015007961494526,8.0404751650703,0.2010118791267575,0.035,6.9101345123515765,22.699291266501277,35.337004749601114,45.108966990428385
controlled-harness,challenge,pi-cli-copilot-route,marginal_cash_cost_usd_per_task,1600,13.20483106081764,8.78141040451475,0.21953526011286875,0.0165,0.08611836522324887,13.204114350200111,26.076458346677207,28.40367215600836
controlled-harness,challenge,pi-cli-copilot-route,model_calls_per_task,1600,29.5125,14.675537605229376,0.3668884401307344,4.25,5.5,29.0,51.5,54.75
controlled-harness,challenge,pi-cli-copilot-route,normalized_cost_per_verified_work,1600,13.061320302341052,7.283058390794201,0.18207645976985504,0.0021948890733240493,0.23890570762914154,14.851545550613416,20.770236724067715,22.569948737264923
controlled-harness,challenge,pi-cli-copilot-route,normalized_provider_cost,1600,13.319033154989077,8.744632054647642,0.21861580136619105,0.2097547062748713,0.295166599650248,13.250270316248905,26.17329599160167,28.499505489341693
controlled-harness,challenge,pi-cli-copilot-route,normalized_wall_time,1600,5.25449672584171,1.9491199505533852,0.04872799876383463,0.394443349427095,3.325785418570905,4.836016465690215,9.492224465710313,15.355955181421924
controlled-harness,challenge,pi-cli-copilot-route,output_tokens_per_task,1600,23877.245009313832,20594.873832683723,514.8718458170931,1029.2461773153145,1768.6442227060077,18749.924263043482,61858.090769907976,64845.24809965083
controlled-harness,challenge,pi-cli-copilot-route,policy_violation_fraction,1600,0.00125,0.017638933002690975,0.00044097332506727436,0.0,0.0,0.0,0.0,0.25
controlled-harness,challenge,pi-cli-copilot-route,provider_cost_usd_per_task,1600,13.319033154989077,8.744632054647642,0.21861580136619105,0.2097547062748713,0.295166599650248,13.250270316248905,26.17329599160167,28.499505489341693
controlled-harness,challenge,pi-cli-copilot-route,retries_per_task,1600,25.05390625,20.98531549906584,0.524632887476646,3.25,5.75,21.25,78.01249999999999,95.5
controlled-harness,challenge,pi-cli-copilot-route,tool_calls_per_task,1600,59.5271875,30.46567843395859,0.7616419608489647,5.75,11.25,64.25,116.25,142.5
controlled-harness,challenge,pi-cli-copilot-route,tool_result_tokens_per_task,1600,131491.5100456319,74590.13817137037,1864.7534542842593,2548.6110519748904,5426.599287455914,166481.95950189437,215180.07139628634,256579.61890049867
controlled-harness,challenge,pi-cli-copilot-route,tool_schema_tokens_per_task,1600,118683.9115625,128632.13958513753,3215.803489628438,722.5,935.0,82165.25,440572.0,485452.0
controlled-harness,challenge,pi-cli-copilot-route,uncached_input_tokens_per_task,1600,4710586.788866691,2972431.108370739,74310.77770926847,85787.2492745354,127282.49868887267,4718135.424064986,8998347.732048256,9693342.48589794
controlled-harness,challenge,pi-cli-copilot-route,wall_seconds_per_task,1600,1939.863662708561,794.2052558955445,19.85513139738861,35.49990144843855,510.98737575613933,2066.449746764783,3155.6624812094615,3789.4138699866253
controlled-harness,challenge,pi-cli-openai-api,accepted_task_fraction,1600,0.11234375,0.23055214327276877,0.005763803581819219,0.0,0.0,0.0,0.75,1.0
controlled-harness,challenge,pi-cli-openai-api,allocated_cash_cost_usd_per_task,1600,13.438087529989078,8.781525939173525,0.2195381484793381,0.2322547062748713,0.3194516985565822,13.437447683533444,26.30979168001054,28.637005489341693
controlled-harness,challenge,pi-cli-openai-api,budget_exhausted_fraction,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled-harness,challenge,pi-cli-openai-api,cache_hit_fraction,1600,0.03611825047847175,0.033688802728444545,0.0008422200682111136,0.0,0.0008198226214706631,0.021326136274753535,0.11187477415212156,0.14089717011640926
controlled-harness,challenge,pi-cli-openai-api,cache_read_tokens_per_task,1600,99420.7875,78486.5666690017,1962.1641667250424,0.0,4635.0,67612.5,215740.0,267330.0
